title,author,first_publish_year,edition_count,subject,subject_people,subject_places,subject_times,language,series,number_of_pages_median,publisher,publish_place,ratings_count,ratings_average
Corduroy,Don Freeman,1968.0,52,"Chinese language materials, Corduroy (Fictitions character), Day, Department stores, Fiction, Juvenile fiction, Picture books, Teddy bears, Toys, Percussion instruments, Motor learning, Children's fiction, Toys, fiction, Corduroy (fictitious character), fiction, Bears, fiction, Fantasy, Corduroy (Fictitious character), Pictorial works, Juguetes, Bears, Osos, Ficción juvenil, Osos de felpa, Picture books for children, Spanish language materials, Friendship, fiction, Children's stories, Corduory(Fictitious character), Friendship, African American girls, Teddy bears, fiction, Department stores, fiction, Toy and movable books, Board books, Ours en peluche, Romans, nouvelles, etc. pour la jeunesse, Jouets, Literature and fiction, juvenile",,,,"eng, chi, spa",Puffin storytape,32.0,Viking Press,New York,26,4.076923076923077
Sex and the City,Candace Bushnell,1996.0,53,"Fiction, general, Social life and customs, Costumbres sexuales, Man-woman relationships, Relaciones hombre-mujer, Vida social y costumbres, Fiction, Dating (Social customs), Citas amorosas, Sex customs, Partnerwahl, Alleinstehende Frau, Manners and customs, Emotions in children, Parent and child, Neuroses, Primal therapy, New york (n.y.), social life and customs, New york (state), social life and customs, Popular culture, united states, Literature and fiction (general)",,"New York, New York (State), New York (N.Y.), Nueva York, Nueva York (Estado), Nueva York (Nueva York)",20th century,"ger, rus, fre, pol, spa, eng, tur",Biblioteca Candace Bushnell,263.0,Atlantic Monthly Press,New York,7,3.5714285714285716
The Long Winter,"Laura Ingalls Wilder, Garth Williams",1940.0,52,"Blizzards, Juvenile fiction, Families, Frontier and pioneer life, Spanish language materials, Fiction, Frontier and pioneer life, fiction, Children's fiction, Social life and customs, Frontier and life, Family life, Family, Newbery Honor Book, History, Newbery Honor, Family life, fiction, South dakota, fiction, Winter, fiction, West (u.s.), fiction, 19e siècle, Pionniers, English fiction, Family, fiction",Laura Ingalls Wilder (1867-1957),"South Dakota, USA",1880-1881,"eng, spa, pol, und, chi, fre, ger",Little House (5),334.0,Harper,New York,23,4.173913043478261
A Case of Need,Michael Crichton,1968.0,52,"abortion, Detective and mystery fiction, Detective and mystery stories, Fiction, investigation, Medical fiction, Medical novels, murder, Mystery fiction, physicians, professional ethics, surgeons, crime, medical malpractice, medical thriller, suspense & thriller, dialation and curattage, abortion in the United States, obstetrics, Juvenile fiction, Mystery and detective stories, medical, Fiction, general, Fiction, thrillers, general, Fiction, medical, Physicians, fiction, Boston (mass.), fiction, Drug addicts, Médicos, Novela, Aborto, Novela policíaca, Edgar Award","John Berry, Arthur Lee, Karen Randall, Wilson, Roman, Angela","United States, Boston (Mass.), Boston, California, Massachusetts, Estados Unidos",1960s,"eng, spa, chi, fre, ger",Wen xue guan,334.0,World Pub. Co.,New York,5,3.4
Brisingr,Christopher Paolini,1998.0,52,"Fiction, Juvenile Fiction, New York Times bestseller, nyt:series_books=2011-06-11, Fantasy, Youths' writings, Dragons, Youth's writings, Dragones, Magic, Magia, Escritos de adolescentes, Ficción juvenil, Novela fantástica, Good and evil, Children's fiction, Fantasy fiction, Dragons, fiction, Dragons -- Fiction, Young Adult Fiction, battles, loyalty, teenage fiction, Vietnamese language, Bedrohung, Das Bose, Erwachsenwerden, Das Gute, Mannliche Jugend, Flucht, Drache, Kampf, Juvenile fiction, Fantasmes, Romans, nouvelles, Romans, nouvelles, etc. pour la jeunesse",Eragon,,,"rus, eng, ger, ita, spa, kor, vie, pol, cat, heb",Inheritance -- bk. 3,763.0,Penguin Random House,,78,3.782051282051282
Wicked,Gregory Maguire,1995.0,52,"Love, Witches, Fiction, Oz (Imaginary place), Brujas, Novela, Oz (Lugar imaginario), Novela fantástica, Spanish language materials, Fiction, fantasy, general, Oz (imaginary place), fiction, Fantasy fiction, Occult fiction, Classic Literature, Good and evil, Fantasy, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Large type books, nyt:e-book-fiction=2013-05-19, New York Times bestseller, nyt:trade-fiction-paperback=2008-11-02, Fiction, fairy tales, folk tales, legends & mythology, Fiction, fantasy, epic, Fiction, fantasy, contemporary, feminist retelling",,,,"dut, eng, chi, spa, kor",The Wicked Years,448.0,William Morrow,New York,12,3.9166666666666665
The Underground Railroad,Colson Whitehead,2000.0,39,"FICTION / African American / General, History, Underground Railroad, Fiction, Fugitive slaves, Historical fiction, FICTION / Literary, FICTION / Historical, Literary, Historical, African American, General, 18.06 Anglo-American literature, Historischer Roman, Amerikanisches Englisch, nyt:hardcover-fiction=2016-08-21, New York Times bestseller, New York Times reviewed, Slaves, fiction, Fiction, african american & black, historical, Fiction, historical, Southern states, fiction, Fiction, historical, general, Large type books, Historia, Esclavos fugitivos, Ficción, Esclavitud- -- Estados Unidos- -- Novelas",,"United States, Georgia, South Carolina, Estados Unidos","19th century, Siglo XIX","eng, spa, ita, kor, jpn, ger",,381.0,Siren Yayinlari,,48,3.9583333333333335
Flat Stanley,"Jeff Brown, Jon Mitchell, Tomi Ungerer, Tony Ross",1964.0,52,"Humorous stories, Art thieves, Juvenile fiction, Fiction, Stanley Lambchop (Fictitious character), Boys, Stanley Lambchop (Fictional character), Humorous fiction, Fantasy, Children's fiction, Boys, fiction, Bulletin boards, Picture books, Family life, fiction, Cooperation, Brothers, Children's stories, Problem children, fiction, Hermanos, Novela juvenil, Imagination, Fantasia, Imaginacion, Spanish language materials, Fantastique, Romans, nouvelles, etc. pour la jeunesse, Roman pour la jeunesse, Stature, Size",,,,"dan, spa, ita, eng, ger, fre",A Trophy chapter book,57.0,Harper & Row,"New York, N.Y",10,3.2
The Tale of Peter Rabbit,Beatrix Potter,1900.0,158,"Rabbits, Fiction, Juvenile fiction, Specimens, Toy and movable books, Children's stories, English, Miniature books, Italian language materials, Peter Rabbit (Fictitious character), Animals, Sound effects books, Juvenile literature, Readers, Spanish language materials, Short stories, Ficción juvenil, Children's stories, French language materials, Welsh language, Conejos, Picture books for children, Children's fiction, Rabbits, fiction, Peter rabbit (fictitious character), fiction, Gardens, fiction, Pictorial works",Peter Rabbit,,,"lat, wel, eng, spa, dan, ita, pol, und, egy, swe, fre, dut, ger",Altemus' wee books for wee folks,55.0,F. Warne,New York,7,3.7142857142857144
The Wide Window,"Lemony Snicket, Brett Helquist, Michael Kupperman, Nestor Busquets",2000.0,52,"Brothers and sisters, Fiction, Humorous stories, Juvenile fiction, Orphans, Orphans -- Fiction., Sunny Baudelaire (Fictitious character), Hurricanes, Recits humoristiques anglais, Humorous fiction, Brothers and sisters -- Fiction., Humorous stories., Criminals, Aunts, Children's fiction, Orphans, fiction, Brothers and sisters, fiction, Adventure and adventurers, fiction, Récits humoristiques anglais, Romans, Orphelins, Récits humoristiques, Frères et soeurs, Siblings, fiction, Violet Baudelaire (Fictitious character), Klaus Baudelaire (Fictitious character)","Count Olaf, Klaus Baudelaire, Violet Baudelaire, Sunny Baudelaire",,,"eng, spa, rus, jpn, chi, fre, ita",Series of Unfortunate Events (3),214.0,HarperCollins Publishers,New York,41,4.073170731707317
Wizard's First Rule,Terry Goodkind,1994.0,52,"Fiction, Wizards, Wizards in fiction, Fiction, fantasy, general, Fiction, fantasy, epic, Amnell, kahlan (fictitious character), fiction, D'haran empire (imaginary place), fiction, Richard Rahl (Fictitious character), Fantasy, Fantasy fiction, Magic, Epic Fantasy, High Fantasy, Adventure","Richard Cypher, Kahlan Amnell, Zeddicus Zu'l Zorander","The Westland, The Midlands, D'Haran Empire",,"ger, gre, fre, eng",Sword of Truth (1),579.0,TOR,London,61,4.262295081967213
Frederick,Leo Lionni,1963.0,52,"Children's stories, Fairy tales, Juvenile fiction, Mice, Mice in fiction, Imagination, Sharing, Families, Winter, Fiction, Accelerated Reader 3.5., Children's fiction, Picture books, Fiction, general, Turkish language materials, Mice, fiction, collectionID:caldecotthonor60, Spanish language materials, Ratones, Estaciones del año, Novela infantil",,,20th Century,"spa, jpn, ita, chi, eng, ger, tur, fre",Picture Lions,32.0,Lumen Espana,,10,4.5
Poems,Oscar Wilde,1881.0,53,"Pre-Raphaelitism, Literature, Art, Poetry, History and criticism, Classic Literature, Fiction, Poetry (poetic works by one author), Pr5814 1997, 821/.8, English poetry, Irish authors",Temple Scott (1864-1939),,,eng,Oxford world's classics,236.0,D. Bogue,Boston,5,4.0
Alive!,Piers Paul Read,1920.0,53,"survival, cannibalism, human endurance, God, Aircraft accidents, Survival after airplane accidents, shipwrecks, etc., Andes region, Airplane crash survival, Non-fiction, Survival after airplane accidents, shipwrecks, Antropofagia, Open Library Staff Picks, Supervivencia (después de accidentes aéreos, naufragios, etc.), Reading Level-Grade 11, Reading Level-Grade 12, Aeronautics, Accidents, Survival (after aeroplane accidents, shipwrecks, etc.), Survival after airplane accidents, shipwrecks, etc, Supervivencia, Accidentes de aviación, Antropofagía, Cannibalisme, Survie après accidents d'avion, naufrages, Aéronautique, Supervivencia después de accidentes aéreos, naufragios, Aeronautica, Accidentes",people,"Andes mountains, Andes Region, Andes (Región), Región de los Andes",1972,"chi, ger, fre, spa, eng, und","Punto de lectura, 496",320.0,Books on Tape,,12,3.8333333333333335
The Notebook,Nicholas Sparks,1996.0,51,"Man-woman relationships, fiction, Oral reading, Older people, Ancianos, Novela, Relaciones hombre-mujer, Open Library Staff Picks, American fiction, Aged, Love stories, Oral reading -- Fiction, Older people -- Fiction, North Carolina -- Fiction, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Fiction, romance, historical, North Carolina, fiction, Large type books, Romance fiction, Kärlek, Skönlitteratur, -- North Carolina -- Fiction, Fiction, romance, general, Romance, --north carolina--fiction, Oral reading--fiction, Older people--fiction, Ps3569.p363 n68 2004, 813.54","Allie Nelson, Noah Calhoun",North Carolina,20th century,"ger, spa, ita, eng",(Thorndike Press Large Print Famous Authors Series),256.0,Warner Books,New York,21,3.5238095238095237
Antigone,Sophocles,1835.0,53,"Drama, Antigone (Greek mythology), Oedipus (Greek mythology), Translations into English, Electra (Greek mythology), Translations into German, Antigone (Personnage légendaire), Théâtre, Greek drama (Tragedy), Criticism and interpretation, open_syllabus_project, Continental european drama (dramatic works by one author), Antigone (Mythologie grecque), Fiction",Sophocles,,,"gre, eng, ita, dut, grc, ger, fre, fao",The Greek tragedy in new translations,93.0,J. Munroe & co.,Cambridge [Mass.],22,3.3636363636363638
The Secret History,Donna Tartt,1992.0,52,"Fiction, College students, Teacher-student relationships, Classicists, Murder, Murderers, Detective and mystery stories, Fiction, psychological, College teachers, fiction, Vermont, fiction, American literature, Richard Papen (Fictitious character), College stories, Psychological fiction, nyt:trade-fiction-paperback=2013-12-01, New York Times bestseller, Estudiantes universitarios, Novela, Asesinato, General, Spanish language materials, Materiales en español, Étudiants, Romans, nouvelles, Spécialistes de lettres classiques, Meurtriers, Roman policier, Relations maitres-eleves, Meurtre, Etudiants","Richard Papen, Henry Winter, Bunny Corcoran, Francis Abernathy, Charles Macaulay, Camilla Macaulay, Julian Morrow",Vermont,1982,"nor, eng, spa, ita, heb, rus, chi, fre, dut, ger",Feux croises,607.0,Random House Audio,enk,76,4.0131578947368425
MAIN STREET,Sinclair Lewis,1920.0,142,"Fiction, Married women, City and town life, Physicians' spouses, Women college graduates, Satire, Domestic fiction, Physicians's spouses, Businessmen, Middle-aged men, Conformity, Classic Literature, Middle aged men, Businesspeople, American fiction (fictional works by one author), Minnesota, fiction, Married people, fiction, Physicians, fiction, Classics, City and town life -- Fiction, Married women -- Fiction, Minnesota -- Fiction, Physicians' spouses -- Fiction, Women college graduates -- Fiction",,Minnesota,,"ger, eng, chi",Harbrace modern classics,451.0,Grosset & Dunlap,New York,5,3.6
Μένων,Πλάτων,1869.0,150,"Early works to 1800, Virtue, Socrates, Virtue and virtues, Plato, Et les vertus, Vertus, Philosophy, Ancient Philosophy, Virtue--early works to 1800, B377.a5 s4513 1985, 170, Idea (philosophy), Classic literature, Fiction, Love, Meno (plato), Social, Ethics & moral philosophy, Literary collections, Philosophy, ancient","Socrates, Platon, Plato",,,"eng, lat, ger, und, ita, spa, gre, grc, fre, tur, heb",Wadsworth studies in philosophical criticism,111.0,Williams & Norgate,London,8,4.0
Washington Square,Henry James,1880.0,219,"Romance, Man-woman relationships, Historical Fiction, Classic Literature, Fiction, Fathers and daughters, Children of the rich, Inheritance and succession, Young women, Courtship, Personal Beauty, Father-daughter relationship, American fiction (fictional works by one author), Fiction, general, Fathers and daughters, fiction, New york (n.y.), fiction, Fiction, romance, general, Young women, fiction, Fiction, family life, Large type books, Literature and fiction (general), Fiction, romance, historical, general, Fiction, media tie-in, Babalar ve k♯łzlar♯ł, Okuma kitaplar♯ł, Roman, Kur yapma, Veraset ve intikal, Children's fiction, Family, fiction, American literature, Fiction, christian, classic & allegory, Fiction, family life, general, Arzt, Tochter, Erbschleicher, Pères et filles, Romans, nouvelles, Jeunes femmes, Fiction, historical, general, Audio Adult: Books On Tape, Abridged Audio - Literature/Classics, Audio - Literature / Classics, Classics, Literary, Fiction / General, Social life and customs, Long Now Manual for Civilization","Catherine Sloper, Morris, Townsend","Washington Square (New York, N.Y.), New York (State), New York, Washington Square, NY New York",,"cat, ger, ita, heb, fre, pol, spa, eng",Oxford world's classics,220.0,Reprint Services Corp,,6,3.3333333333333335
The Naked Sun,Isaac Asimov,1954.0,51,"Fiction, Science fiction, Robots, Robots in fiction, Fiction, science fiction, hard science fiction, Fiction, mystery & detective, general, American literature, Fiction, science fiction, general, American Science fiction, Murder, Investigation, Space colonies","Elijah Baley (Fictitious character), R. Daneel Olivaw (Fictitious character)",Solaria,,"spa, ita, por, chi, eng, ger, fre",Robot (3),234.0,Ballantine Books,New York,22,3.9545454545454546
L'Éducation sentimentale,Gustave Flaubert,1898.0,162,"Fiction, Young men, History, Married women, Unrequited love, February Revolution (France : 1848), June Days (Paris : 1848), Married women in fiction, France in fiction, Young men in fiction, Unrequited love in fiction, French language, Classic Literature, Romance literature, Facsimiles, French Manuscripts, Manuscripts, Notebooks, sketchbooks, Textual Criticism, Continental european fiction (fictional works by one author), France, fiction, Married people, fiction, Paris (france), fiction, Fiction, general, Wives, Social life and customs, Manners and customs, Romance fiction, French fiction, Romance Frances, Fiction, romance, general, Jeunes hommes, Romans, nouvelles, Femmes mariées, Amour malheureux, Histoire, Jóvenes (Varones), Novela, Mujeres casadas, Translations into English, Fiction in English, Translations from French, Instrumental music, Social conditions, Antiques, Long Now Manual for Civilization",Gustave Flaubert (1821-1880),"Paris (France), France","June Days, 1848, February Revolution, 1848","dut, eng, ger, und, spa, fre",Classiques Garnier,473.0,H.S. Nichols,London,5,3.0
Five Run Away Together,Enid Blyton,1942.0,52,"Famous Five (Fictitious characters), Juvenile fiction, Fiction, English Adventure stories, Mystery and detective stories, Islands, Smugglers, Missing persons, Detective and mystery stories, Personnes disparues, Romans, nouvelles, etc. pour la jeunesse, Cinco famosos (Personajes literarios), Novela juvenil, Personas desaparecidas, Children's fiction, Adventure and adventurers, fiction",,,,"ger, fre, eng, spa",Famous Five #3,192.0,HODDER HEADLINE LTD.,Great Britain,11,3.909090909090909
L'immoraliste,André Gide,1902.0,117,"French language, Readers, Textbooks for foreign speakers, French fiction, Translations into English, Gay men, Fiction, French literature, Disease in literature, Tuberculosis, East and West, Married men, Child molesters, Hedonism, Continental european fiction (fictional works by one author), Classic Literature, Gay men--fiction, Pq2613.i2 i4813 2001, 843/.912, Degeneration, LGBTQ fiction before Stonewall",,,,"ger, eng, vie, spa, heb, jpn, fre, ita",Collection Folio -- 229,181.0,Mercure de France,[Paris],7,2.7142857142857144
The Third Wheel,Jeff Kinney,2003.0,51,"Humorous stories, Families, Middle schools, Diaries, Dance parties, Juvenile fiction, Family life, Fiction, Schools, Best friends, Friendship, Valentine's Day, Greg Heffley (Fictitious character), Children's fiction, Diaries, fiction, Diary Of A Wimpy Kid Book 07 The Third Wheel, Friendship, fiction, Dance, Spanish language materials, Mejores amigos, Ficción juvenil, Estudiantes de la escuela media, Escuelas, Día de San Valentín, Danza, Children's stories, Comics & Graphic Novels, School stories, Middle school, school dance, date, Best rriends, Heffley, Greg -- Juvenile fiction, Heffley, Greg, Large type books, Middle schools -- Fiction, Schools -- Fiction, Valentine's Day -- Fiction, Dance parties -- Fiction, Best friends -- Fiction, Friendship -- Fiction, Family life -- Fiction, Diaries -- Fiction, Livres en gros caractères, large print books, JUVENILE FICTION -- Family -- Siblings, JUVENILE FICTION -- Humorous Stories, Behavior, Juvenile literature","Greg Heffley, Greg Heffley. Rodrick Heffley. Manny Heffley. Rowley Jefferson. Susan Heffley. Holly Hills. Frank Heffley. Fregley.",,,"wel, eng, spa, por, pol, tur, heb, chi, jpn, baq, cat",Yomano shel ḥenun,223.0,donno,,71,4.112676056338028
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows, Mary Ann Shaffe",2008.0,51,"New York Times bestseller, nyt:trade_fiction_paperback=2010-07-11, Literature, Epistolary fiction, Fiction, Women authors, Book clubs (Discussion groups), History, London (england), fiction, Authors, fiction, Fiction, historical, Guernsey (channel islands), fiction, Large type books, Fiction, historical, general, Fiction, general, Europe, fiction, Clubs de lectura, Historia, Ficcion, Autoras, Friendship, Écrivaines, Romans, nouvelles, Clubs de lecture, Histoire, Historical - General, England, Fiction / Literary, Popular American Fiction, Literary, Fiction - General, Fictional Works, Schriftstellerin, Reise, Love-letters, Guerre mondiale, 1939-1945, Lettres d'amour, Roman américain",,"England, London (England), Guernsey (Isla de Canal), Guernsey, Guernesey (Îles Anglo-Normandes), Londres (Angleterre), Angleterre, London, Great Britain Miscellaneous Island Dependencies, Îles Anglo-Normandes, Guernesey","20th century, Ocupacin alemana, 1940-1945, German occupation, 1940-1945, 20e siècle","ger, eng, kor, spa, heb, chi, cat, pol, fre",Random House reader's circle,288.0,The Dial Press,"New York, N.Y",20,4.25
The Quiet American,Graham Greene,1940.0,51,"Americans, British, Fiction, Fiction in English, German language books, Indochinese War, 1946-1954, Journalists, Politics and government, Triangles (Interpersonal relations), War correspondents, Indochinese War, 1946-1954 -- Fiction, Indochinese War (1946-1954) fast (OCoLC)fst00970511, Political fiction, Journalists, fiction, Vietnam, fiction, Fiction, war & military, Fiction, political, Fiction, psychological, Man-woman relationships, fiction, British and irish fiction (fictional works by one author), Large type books, Literature, War stories",,"Indochina, Vietnam","1945-, 1945-1954, 1945-1975","rus, eng, spa, vie, dut, ger, hun, fre, chi, slo",Kinseido's English textbooks,211.0,Amereon Limited,,18,3.8333333333333335
Jonathan Strange and Mr. Norrell,Susanna Clarke,2001.0,51,"England, fiction, Fiction, historical, Fiction, historical, general, Literature, award:hugo_award=2005, Fantasy fiction, Fairies, Fiction, Hugo Award Winner, Fantasy, Magicians, Teacher-student relationships, award:hugo_award=novel, Historical fiction, Teacher-student relationship, Magic, London (england), fiction, Fiction, fantasy, historical, Teachers, fiction, Great britain, fiction, History, English literature",,"London (England), York (England)",,"swe, chi, spa, eng",Strange & Norrell,864.0,Bloomsbury Publishing PLC,,7,3.5714285714285716
Tale of Despereaux,Kate DiCamillo,2003.0,52,"Fairy tales, Newbery Medal, Juvenile fiction, Princesses, Cuentos de hadas, Fiction, Ficción juvenil, Ratones, Mice, Princesas, Rats, Action & Adventure, Mice, Hamsters, Guinea Pigs, Animals, Fairy Tales & Folklore, Large type books, Children's fiction, Mice, fiction, American Fantasy fiction, NEWBERRY MEDAL, award:Newbery_award, lexile:670, lexile_range:601-700, age:min:7, age:max:10, grade:min:2, grade:max:5, Fantasy",,,,"rus, eng, ger, chi, spa, fre, tur, pol, heb",Guo ji da jiang xiao shuo,267.0,Scholastic,"Cambridge, Mass",50,4.06
State of Fear,Michael Crichton,2004.0,51,"conflicts of interest, swashes, blue-ringed octopuses, scientific conferences, Chinese language materials, spy and adventure novels, American literature, Suspense fiction, science fiction, Ecoterrorism, Open Library Staff Picks, Global warming, Fiction, Submarines (Ships), Technology, Fiction, technological, Fiction, thrillers, Large type books, Fiction, thrillers, general, Ecology, Earth sciences, Climate, Greenhouse effect, nyt:combined-print-and-e-book-fiction=2015-08-30, New York Times bestseller, Fiction, thrillers, technological, Literature and fiction, mystery and suspense","Peter Evans, George Morton, Nicholas Drake, John Kenner, Sanjong Thapa","South Pacific Ocean, Paris, Malaysia, Vancouver, New Guinea, Tokyo, MIT, Solomon Islands, California, Antarctica, Los Angeles",,"fre, eng, ger, chi, spa",,678.0,HarperCollins Publishers,New York,9,2.3333333333333335
Children of Dune,Frank Herbert,1976.0,51,"Dune (Imaginary place), Fiction, Fiction in English, Science Fiction, Dune (imaginary place), fiction, Fiction, science fiction, general, Fiction, fantasy, general, American Science fiction, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12",,,,"chi, spa, fre, eng, ger, pol",Dune (3),472.0,Berkley Pub. Corp.,New York,40,3.975
Little Town on the Prairie,"Laura Ingalls Wilder, Garth Williams",1941.0,51,"Families, Frontier and pioneer life, Family, Juvenile fiction, Family life, Fiction, Newbery Honor, Children's fiction, Frontier and pioneer life, fiction, South dakota, fiction, American Personal narratives, Korean War, 1950-1953, West (u.s.), fiction, Historical fiction, Kansas, fiction, Family life, fiction",Laura Ingalls Wilder (1867-1957),"South Dakota, USA",1881-1882,"eng, spa, pol, und, chi, fre, dut",Little house,306.0,Harper & Brothers,New York,19,3.8421052631578947
"Can't You Sleep, Little Bear?","Martin Waddell, Barbara Firth, Virginia Miller",1988.0,51,"Beds, Picture books, Bears, Juvenile fiction, Children's stories, English, Children's literature, Fiction, Fear of the dark, Bedtime, Fear, Big books, Love, Juvenile, Instruction and study, Child development, Music, Pictorial works, Little Bear (Fictitious character : Waddell), Pictorial worksJuvenile fiction, Big Bear (Fictitious character : Waddell), Children's fiction, Bears, fiction, Winter, fiction, Little bear (fictitious character : waddell), fiction, Child and youth fiction, Bedtime, fiction, Specimens, Sleep, Night",,,,"chi, wel, eng, ger, tur, fre, mul",Lutin poche,32.0,Discovery Toys,"Pleasant Hill, Calif",11,4.545454545454546
Nightwood,Djuna Barnes,1936.0,54,"Fiction, Lesbians, Lesbians in literature, Sex addicts, Textual Criticism, open_syllabus_project, Paris (france), fiction, American fiction (fictional works by one author), Fiction, psychological, Lesbians, fiction, New York Times reviewed, Barnes, djuna, 1892-1982, Cross-dressers, Expatriates, Americans, Fiction in English, Lesbian, Sex addiction, LGBTQ fiction before Stonewall",Djuna Barnes,"Paris (France), Paris, France",,"fre, eng, spa, ger",The new classics series,191.0,Faber,London,8,3.625
Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,1996.0,51,"School stories, Humorous stories, Juvenile fiction, School principals, Fiction, Captain Underpants (Fictitious character), Schools, School superintendents and principals, Humorous fiction, Heroes, Heroes and heroines, Caricatures and cartoons, Children's fiction, Schools, fiction, Heroes, fiction, Cartoons and comics, Cuentos humorísticos, Escuelas, Ficción juvenil, Héroes, Superintendentes y directores, Captain underpants (fictitious character), fiction, Teachers, fiction, Child and youth fiction, Toilets, Inventions, Schoolboys, Science fiction",,,,"cat, spa, jpn, eng, rus, fre, chi",Xin jing dian wen ku -- 223,136.0,Dan santat,,21,4.238095238095238
By the Shores of Silver Lake,"Laura Ingalls Wilder, Garth Williams",1924.0,51,"Juvenile fiction, Frontier and pioneer life, Family life, Fiction, Newbery Honor, Families, Family, Children's fiction, Frontier and pioneer life, fiction, Family life, fiction, Novela juvenil, Frontera y exploradores, Familia, Vida fronteriza y pionera, Vida, Family, fiction, Social life and customs, Manners and customs, Pionniers, 19e siècle, Minnesota, fiction, North dakota, fiction, West (u.s.), fiction, award:Newbery_award",Laura Ingalls Wilder (1867-1957),"South Dakota, USA",c.1880,"pol, spa, fre, eng, chi",La Petite maison dans la prairie,290.0,penn,,24,4.0
The Brethren,John Grisham,2000.0,51,"Prisoners, Judges, Fiction, Fiction, mystery & detective, general, Readers, English language, textbooks for foreign speakers, Fiction, thrillers, general, Large type books, American Legal stories, Translations into French, Fiction, legal, Fiction, thrillers, suspense, Mystery and detective, Florida, fiction, American literature, Swindlers and swindling",,,,"por, ger, fre, eng, tur, dut, ita, spa, chi",La Trama Series,446.0,Doubleday,New York,16,3.9375
Evgeniĭ Onegin,Александр Сергеевич Пушкин,1833.0,102,"Social life and customs, Man-woman relationships, Translations from Russian, Russian literature, Russian fiction, Translations into English, Poetry, Fiction, Russian poetry, Poverty, English poetry, Open Library Staff Picks, Social conditions, Translations into German, Russia, Novels in verse, History, Continental european fiction (fictional works by one author), Manners and customs, Dandies, Russian literature, history and criticism, Continental european drama (dramatic works by one author), Criticism and interpretation","Vasiliĭ Vasilʹevich Gelʹmersen (1873-ca. 1934), Sergeĭ Nikolaevich Bondi, Aleksandr Sergeevich Pushkin (1799-1837)",Russia,"19th century, 1801-1917, 20th century","ger, geo, rus, heb, fre, pol, eng, tyv",Penguin classics,243.0,A. Smirdin,Sanktpeterburg,12,4.0
2nd Chance,"James Patterson, Andrew Gross",2002.0,51,"Fiction, Women detectives, Women in the professions, Female friendship, Women's Murder Club (Imaginary organization), Mystery, Mystery fiction, American fiction, San francisco (calif.), fiction, Fiction, mystery & detective, women sleuths, Serial murders, fiction, Women's murder club (imaginary organization), fiction, Romans, Roman policier, Romans, nouvelles, Meurtres en serie, Femmes detectives, Inspectrices de police, Femmes dans les professions libérales, Amitié féminine, Adventure / thriller, collectionid:wmc",,"San Francisco, California, San Francisco (Calif.), Californie",20th century,"kor, fre, eng, ita",Women's Murder Club (2),390.0,"Little, Brown and Company",New York,14,4.142857142857143
Stormbreaker,Anthony Horowitz,2000.0,50,"Juvenile Fiction, Fiction, Children's fiction, Spies, fiction, Orphans, fiction, Terrorism, fiction, England, fiction, Rider, alex (fictitious character), fiction, Young Adult Fiction, Terrorism in fiction, Alex Rider (Fictitious character), Spies, England in fiction, Spy stories, Orphans in fiction, Terrorism, Spies in fiction, Orphans, Thriller, Intelligence service, Comic books, strips, Terrorismo, Spanish language materials, Ficción juvenil, Huérfanos, English Detective and mystery stories, Computers, Great Britain. MI6, English Spy stories, Premier's Reading Challenge, Year 7, Year 9., Rider, Alex (Personnage fictif), Romans, Espionnage, Romans, nouvelles, Ordinateurs, Ecoles, Comic books, strips, etc., Adventure stories, Adventure fiction, Detective work, Disasters, Espionage, Espías, Juvenile Juvenile fiction, Mystery, Mystery and detective stories, Novela adolescentes, School stories, Schools, fiction, Teenage boys, Teenagers, Serie:Alex-Rider","Alex Rider, Alex Rider (Fictitious character)",England,,"por, fre, eng, ger, spa",An Alex Rider adventure,234.0,"Walker Books, Limited",,37,3.918918918918919
